olympic_record_id,athlete_name,age,year,medal,country,sport,event
615,Nataliya Ivanovna Baranova (Masolkina-),30.0,2006,Gold,Russia,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
617,rpd Brny,33.0,1964,Gold,Hungary,Fencing,"Fencing Men's epee, Team"
619,Darren Barber,23.0,1992,Gold,Canada,Rowing,Rowing Men's Coxed Eights
621,"Raymond James ""Ray"" Barbuti",22.0,1928,Gold,United States,Athletics,Athletics Men's 400 metres
622,"Raymond James ""Ray"" Barbuti",22.0,1928,Gold,United States,Athletics,Athletics Men's 4 x 400 metres Relay
623,Danio Bardi,23.0,1960,Gold,Italy,Water Polo,Water Polo Men's Water Polo
624,Mara del Carmen Barea Cobos,25.0,1992,Gold,Spain,Hockey,Hockey Women's Hockey
629,"Clifford Eugene ""Cliff"" Barker",27.0,1948,Gold,United States,Basketball,Basketball Men's Basketball
631,Charles Wade Barkley,29.0,1992,Gold,United States,Basketball,Basketball Men's Basketball
632,Charles Wade Barkley,33.0,1996,Gold,United States,Basketball,Basketball Men's Basketball
633,Jane Louise Barkman (-Brown),17.0,1968,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
634,Jane Louise Barkman (-Brown),20.0,1972,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
635,"Donald Argee ""Don"" Barksdale",25.0,1948,Gold,United States,Basketball,Basketball Men's Basketball
636,Valrie Gisele Angele Barlois-Mevel-Leroux,27.0,1996,Gold,France,Fencing,"Fencing Women's epee, Team"
638,Harrison Bryce Jordan Barnes,24.0,2016,Gold,United States,Basketball,Basketball Men's Basketball
639,"Velvet James ""Jim"" Barnes",23.0,1964,Gold,United States,Basketball,Basketball Men's Basketball
640,Jennifer-Kirsten Barnes,24.0,1992,Gold,Canada,Rowing,Rowing Women's Coxless Fours
641,Jennifer-Kirsten Barnes,24.0,1992,Gold,Canada,Rowing,Rowing Women's Coxed Eights
642,"Lee Stratford Barnes, Jr.",17.0,1924,Gold,United States,Athletics,Athletics Men's Pole Vault
643,"Eric Randolph ""Randy"" Barnes",30.0,1996,Gold,United States,Athletics,Athletics Men's Shot Put
645,Bengt Baron,18.0,1980,Gold,Sweden,Swimming,Swimming Men's 100 metres Backstroke
646,Khasan Makharbekovich Baroyev,21.0,2004,Gold,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
647,Bronte Amelia Arnold Barratt,19.0,2008,Gold,Australia,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
648,Hermann Joseph Barrelet,20.0,1900,Gold,France,Rowing,Rowing Men's Single Sculls
650,"Michael Thomas ""Mike"" Barrett",25.0,1968,Gold,United States,Basketball,Basketball Men's Basketball
652,Peter Jones Barrett,33.0,1968,Gold,United States,Sailing,Sailing Mixed Two Person Keelboat
654,Sonia Barrio Gutirrez,22.0,1992,Gold,Spain,Hockey,Hockey Women's Hockey
655,"Michael Ray ""Mike"" Barrowman",23.0,1992,Gold,United States,Swimming,Swimming Men's 200 metres Breaststroke
656,"Jack Leonard ""Jay"" Barrs, Jr.",26.0,1988,Gold,United States,Archery,Archery Men's Individual
657,Yuliya Vladimirovna Barsukova (-Samokhin),21.0,2000,Gold,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
658,Istvn Barta (Berger),36.0,1932,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
